title,location,price_raw,price_value,bhk,bathrooms,super_area_sqft,carpet_area_sqft,rent_real,initial_monthly_rent,property_price,interest_rate,down_payment_percent,down_payment,loan_amount,monthly_emi,effective_rent,total_tax_buy,total_tax_rent,final_buying_cost,final_renting_cost,decision,search_text
"3 BHK Flat for Sale in Radiance Gardenia, Hennur Main Road, Bangalore","radiance gardenia, hennur main road, bangalore",₹2.40 Cr,24000000,3,3,,1900.0,70000.0,70000.0,24000000,8.5,0.25,6000000.0,18000000.0,156208.0,156208.0,3600000.0,4200000.0,27600000.0,21000000.0,RENT,"3 BHK Flat for Sale in Radiance Gardenia, Hennur Main Road, Bangalore located in radiance gardenia, hennur main road, bangalore"
4 BHK Villa for Sale in Devanahalli Bangalore,devanahalli bangalore,₹3 Cr,30000000,4,4,,2236.0,195000.0,195000.0,30000000,8.5,0.25,7500000.0,22500000.0,195260.0,195260.0,4500000.0,11700000.0,34500000.0,58500000.0,BUY,4 BHK Villa for Sale in Devanahalli Bangalore located in devanahalli bangalore
"2 BHK Flat for Sale in Sobha Dream Gardens, Thanisandra, Bangalore","sobha dream gardens, thanisandra, bangalore",₹1.36 Cr,13600000,2,2,,630.0,43000.0,43000.0,13600000,8.5,0.25,3400000.0,10200000.0,88518.0,88518.0,2040000.0,2580000.0,15640000.0,12900000.0,RENT,"2 BHK Flat for Sale in Sobha Dream Gardens, Thanisandra, Bangalore located in sobha dream gardens, thanisandra, bangalore"
"2 BHK Flat for Sale in Spectra Cypress, Beml Layout-Brookefield, Brookefield, Bangalore","spectra cypress, beml layout-brookefield, brookefield, bangalore",₹1.99 Cr,19900000,2,2,,1480.0,43000.0,43000.0,19900000,8.5,0.25,4975000.0,14925000.0,129523.0,129523.0,2985000.0,2580000.0,22885000.0,12900000.0,RENT,"2 BHK Flat for Sale in Spectra Cypress, Beml Layout-Brookefield, Brookefield, Bangalore located in spectra cypress, beml layout-brookefield, brookefield, bangalore"
"3 BHK Flat for Sale in DivyaSree 77 Place, Yemalur, Bellandur, Bangalore","divyasree 77 place, yemalur, bellandur, bangalore",₹5.50 Cr,55000000,3,3,2250.0,,70000.0,70000.0,55000000,8.5,0.25,13750000.0,41250000.0,357977.0,357977.0,8250000.0,4200000.0,63250000.0,21000000.0,RENT,"3 BHK Flat for Sale in DivyaSree 77 Place, Yemalur, Bellandur, Bangalore located in divyasree 77 place, yemalur, bellandur, bangalore"
"3 BHK Flat for Sale in Hiranandani Club Meadows, Akshayanagar, Bangalore","hiranandani club meadows, akshayanagar, bangalore",₹2.45 Cr,24500000,3,3,,1250.0,70000.0,70000.0,24500000,8.5,0.25,6125000.0,18375000.0,159463.0,159463.0,3675000.0,4200000.0,28175000.0,21000000.0,RENT,"3 BHK Flat for Sale in Hiranandani Club Meadows, Akshayanagar, Bangalore located in hiranandani club meadows, akshayanagar, bangalore"
"3 BHK Flat for Sale in Sobha Rajvilas, Rajajinagar, Bangalore","sobha rajvilas, rajajinagar, bangalore",₹4.55 Cr,45500000,3,4,,1325.0,70000.0,70000.0,45500000,8.5,0.25,11375000.0,34125000.0,296145.0,296145.0,6825000.0,4200000.0,52325000.0,21000000.0,RENT,"3 BHK Flat for Sale in Sobha Rajvilas, Rajajinagar, Bangalore located in sobha rajvilas, rajajinagar, bangalore"
"2 BHK Flat for Sale in Mana Macasa Emerald, Sarjapur Road, Bangalore","mana macasa emerald, sarjapur road, bangalore",₹1.10 Cr,11000000,2,2,,1200.0,43000.0,43000.0,11000000,8.5,0.25,2750000.0,8250000.0,71595.0,71595.0,1650000.0,2580000.0,12650000.0,12900000.0,BUY,"2 BHK Flat for Sale in Mana Macasa Emerald, Sarjapur Road, Bangalore located in mana macasa emerald, sarjapur road, bangalore"
"3 BHK Flat for Sale in Godrej Platinum, HAL Old Airport Road, Bangalore","godrej platinum, hal old airport road, bangalore",₹4.65 Cr,46500000,3,4,,3000.0,70000.0,70000.0,46500000,8.5,0.25,11625000.0,34875000.0,302653.0,302653.0,6975000.0,4200000.0,53475000.0,21000000.0,RENT,"3 BHK Flat for Sale in Godrej Platinum, HAL Old Airport Road, Bangalore located in godrej platinum, hal old airport road, bangalore"
"3 BHK Flat for Sale in TATA The Promont, Banashankari, Bangalore","tata the promont, banashankari, bangalore",₹3.10 Cr,31000000,3,3,2480.0,,70000.0,70000.0,31000000,8.5,0.25,7750000.0,23250000.0,201769.0,201769.0,4650000.0,4200000.0,35650000.0,21000000.0,RENT,"3 BHK Flat for Sale in TATA The Promont, Banashankari, Bangalore located in tata the promont, banashankari, bangalore"
"2 BHK Flat for Sale in Prestige Shantiniketan, Whitefield, Bangalore","prestige shantiniketan, whitefield, bangalore",₹2.35 Cr,23500000,2,3,,1297.0,43000.0,43000.0,23500000,8.5,0.25,5875000.0,17625000.0,152954.0,152954.0,3525000.0,2580000.0,27025000.0,12900000.0,RENT,"2 BHK Flat for Sale in Prestige Shantiniketan, Whitefield, Bangalore located in prestige shantiniketan, whitefield, bangalore"
"2 BHK Flat for Sale in Brigade Cosmopolis, Whitefield Main Road, Bangalore","brigade cosmopolis, whitefield main road, bangalore",₹2.10 Cr,21000000,2,2,,1034.0,43000.0,43000.0,21000000,8.5,0.25,5250000.0,15750000.0,136682.0,136682.0,3150000.0,2580000.0,24150000.0,12900000.0,RENT,"2 BHK Flat for Sale in Brigade Cosmopolis, Whitefield Main Road, Bangalore located in brigade cosmopolis, whitefield main road, bangalore"
"2 BHK Flat for Sale in Mana Uber Verdant 2, Sarjapura, Bangalore","mana uber verdant 2, sarjapura, bangalore",₹18 Cr,180000000,2,2,,1307.0,43000.0,43000.0,180000000,8.5,0.25,45000000.0,135000000.0,1171561.0,1171561.0,27000000.0,2580000.0,207000000.0,12900000.0,RENT,"2 BHK Flat for Sale in Mana Uber Verdant 2, Sarjapura, Bangalore located in mana uber verdant 2, sarjapura, bangalore"
